customer_id,age,gender,region,income_tier,education_level,marital_status,tenure_months,contract_type,preferred_channel,loyalty_tier,churn,purchase_frequency,avg_order_value,total_spend_6m,recency_days,product_categories_used,returns_ratio,email_open_rate,app_sessions_per_month,support_tickets_6m,campaign_response_rate,last_promotion_used,customer_satisfaction_score,payment_method
CUST001662,50,Male,NORTH,Mid,Graduate,Divorced,25,Monthly,In-store,Silver,0,14,114.32,1610.84,162,3,0.2156,,,0,0.4797,Discount,50,Credit Card
CUST013618,34,Male,Central,Low,Post-Graduate,Single,18,Monthly,Web,Silver,1,3,100.64,293.62,86,1,0.1751,0.6231,33,7,0.1093,Cashback,,Debit Card
CUST000447,,F,North,Mid,Post-Graduate,Married,67,Annual,App,Bronze,0,7,41.08,260,72,6,0.1391,0.4749,23,0,0.695,Discount,67.5,Credit Card
CUST003152,41,Male,west,Low,Graduate,Single,38,Monthly,Phone,Gold,1,,41.82,1280.98,111,2,0.4328,0.2107,50,9,0.2815,Cashback,,Credit Card
CUST004127,38,Male,South ,Low,Graduate,Widowed,11,Annual,Web,,1,1,462.48,490.15,152,1,0.3355,,54,9,0,Discount,23.5,Credit Card
CUST007300,24,MALE,central,Low,High School,Married,13,Monthly,Phone,,0,15,134.19,1865.87,113,2,0.4158,0.5389,17,4,0.3423,,59.5,Debit Card
CUST019287,41,male,north ,High,Graduate,Divorced,31,Annual,In-store,Gold,0,6,142.48,790.26,2,3,0.0112,0.5267,,5,0.97,Cashback,0,Credit Card
CUST014052,42,Female,EAST,High,High School,Married,38,Multi-year,Web,Silver,1,6,92.8,535.43,126,4,0.2364,0,40,12,0.2609,Free Shipping,23.5,Credit Card
CUST003951,58,Male,CENTRAL,Low,Graduate,Married,19,Monthly,Web,Silver,0,23,47.03,1138.59,41,1,0.4839,0.786,37,8,0.6293,Cashback,53.5,Debit Card
CUST010847,56,Male,SOUTH,Low,Post-Graduate,Single,3,Multi-year,Web,Bronze,0,1,19.11,20.93,48,1,0.1184,0.4616,13,0,0.4792,Free Shipping,64,Debit Card
CUST012205,,Female,Central,Mid,Post-Graduate,Married,18,Annual,Web,Silver,0,9,62.37,578.63,183,4,0.3208,0.8398,60,0,0.4149,No Promotion,91,Credit Card
CUST018269,35,MALE,NORTH,Mid,High School,Divorced,17,Annual,In-store,,0,10,277.23,2498.5,78,3,0.153,0.4544,57,2,0.6993,Free Shipping,13.5,COD
CUST014950,55,Female,EAST,Mid,Post-Graduate,Single,36,Monthly,App,Gold,1,1,26.83,28.79,1,1,0.1751,0.98,10,0,0.821,No Promotion,69,COD
CUST006339,49,Male,EAST,High,High School,Divorced,21,Annual,Web,Platinum,0,1,30,32.39,170,1,,0.8445,56,0,0,No Promotion,,Wallet
CUST004774,49,Male,west,Mid,Graduate,Married,26,Monthly,Phone,Silver,0,19,397.18,7273.11,1,5,0.0645,0.5114,38,12,0.4248,Free Shipping,46.5,Credit Card
CUST016007,41,Male,East,High,Graduate,Married,33,Annual,Phone,Silver,0,8,118.66,1034.16,22,6,0.5618,0.777,43,0,0.6392,Free Shipping,58,Wallet
CUST002632,36,Female,south,Mid,High School,Married,23,multiyear,In-store,Bronze,1,1,255.11,270.63,36,1,0.0701,0.1074,16,3,0.2095,No Promotion,36.5,Debit Card
CUST013351,49,Non-binary,EAST,Mid,Graduate,Divorced,44,Monthly,Web,Silver,1,10,173.58,1739.63,82,1,0.2899,0.1481,60,9,0.3589,No Promotion,59,COD
CUST013974,55,Male,South ,Mid,,Married,57,Annual,Web,Gold,1,13,50.95,710.41,183,4,0.3477,0.9166,,0,0.7485,No Promotion,66.5,Debit Card
CUST017753,41,Female,Central,High,High School,Married,2,Multi year,App,Platinum,0,20,356.22,6499.24,60,4,0.3109,0.48,60,0,0.7734,Discount,67.5,Credit Card
CUST006265,34,Female,Central,Mid,High School,Single,80,Annual,Web,Bronze,0,14,90.06,1154.02,163,5,0.309,0,11,3,0.7253,No Promotion,79.5,Debit Card
CUST008767,35,Female,East,Mid,Graduate,Single,19,Monthly,Phone,Silver,0,28,53.53,1395.44,183,5,0.0044,0.5903,51,15,0.2968,No Promotion,0,Debit Card
CUST002775,45,male,East,Low,Graduate,Widowed,37,Monthly,Phone,Bronze,0,2,958.05,1825.88,15,2,,0.5962,20,1,0.7848,Discount,66,Wallet
CUST018037,62,F,North,High,Post-Graduate,Married,66,Monthly,Web,Gold,1,1,33.28,34.52,114,1,0.1942,0.3654,49,13,0.5011,Free Shipping,50,Credit Card
CUST011941,57,Male,WEST,High,Graduate,Single,10,Multi-year,Web,Bronze,0,10,29.61,298.01,126,2,0.1133,0.3854,5,0,0.6406,Discount,65.5,Debit Card
CUST016434,47,Female,EAST,Mid,High School,Single,22,Monthly,Web,Bronze,0,22,56.93,1233.93,151,5,0.1712,0.6543,47,4,0.212,,50,Credit Card
CUST013032,36,Female,north ,,High School,Single,78,Monthly,Web,Silver,0,30,56.76,1799,78,1,0.107,0.1593,11,0,0.6747,No Promotion,34,Credit Card
CUST013458,37,Female,EAST,Mid,High School,Single,16,Monthly,App,Silver,0,4,33.63,129.6,1,4,0.5629,0.0568,,1,0.3568,Discount,40.5,Debit Card
CUST018860,27,Female,SOUTH,Mid,Graduate,Married,58,Monthly,Phone,Bronze,0,24,23.11,508.64,111,2,0.461,0,23,0,0.7466,No Promotion,61.5,Debit Card
CUST015803,37,Male,north ,Mid,Post-Graduate,Married,18,Annual,Web,Bronze,0,7,226.1,1550.02,183,4,0.6764,0.662,19,0,0.7085,Discount,5,Credit Card
CUST006375,,Female,central,Mid,Post-Graduate,Married,15,Multi-year,Web,Gold,1,6,258.19,1631.67,183,1,0,0.0448,0,11,0.5956,Cashback,22.5,Credit Card
CUST012879,49,Female,EAST,Mid,Doctorate,Married,6,Monthly,Phone,Silver,0,2,36.19,72.01,98,2,0.3038,0.2478,60,10,0.5554,Discount,65.5,Credit Card
CUST017787,34,Male,south,Mid,Graduate,Single,50,Multi year,Web,Bronze,0,5,63.69,348.84,138,3,0.1204,0.715,60,6,0.5008,Cashback,29.5,Wallet
CUST006990,24,Female,CENTRAL,High,Graduate,Single,36,Multi-year,App,Silver,1,8,98.95,847.98,53,1,0.3298,0.4975,19,11,0.243,No Promotion,27,Debit Card
CUST012051,35,M,East,Mid,Doctorate,Divorced,20,Annual,In-store,Bronze,0,24,176.56,4483.97,,3,0,0.5919,45,5,0.2614,No Promotion,37.5,Wallet
CUST019664,35,FEMALE,NORTH,Low,,Single,51,Monthly,In-store,Platinum,0,1,12.14,13.31,,1,0.4791,0.736,,0,0.4911,No Promotion,,COD
CUST001093,63,male,East,High,Graduate,Single,11,Annual,App,Gold,1,28,15.71,447.02,80,7,0.1407,0.8087,38,4,0.9116,,,COD
CUST015198,44,Female,CENTRAL,Mid,Post-Graduate,Married,22,Monthly,App,Gold,0,1,568.51,573.13,124,1,0.0866,0.6526,31,0,0.3577,Cashback,,Credit Card
CUST005032,40,Male,central,Mid,,Single,48,Monthly,Phone,Bronze,0,4,216.3,880.75,91,3,0.5464,0,13,0,0.2983,Cashback,68,Credit Card
CUST010819,24,F,Central,Low,Graduate,Divorced,42,Monthly,In-store,,0,6,34.45,201.43,1,2,0.5827,0.4462,31,0,0.423,Cashback,56,Debit Card
CUST012548,37,Male,north ,Low,Graduate,Single,59,Monthly,App,Silver,0,14,27.23,358.02,161,1,0.125,0,0,10,0.328,Free Shipping,23,Wallet
CUST008936,60,Female,north,Low,Post-Graduate,Divorced,23,Monthly,In-store,Silver,1,,67.89,126.81,176,3,0,0.6955,16,3,0.2047,Free Shipping,41,Debit Card
CUST013235,55,male,West,Mid,High School,Single,18,multiyear,Phone,Gold,0,35,193.91,6611.87,18,7,0.2042,,8,16,0.3823,No Promotion,,Debit Card
CUST013704,44,Female,Central,High,High School,Married,16,Annual,App,Silver,0,,301.63,3944.89,12,2,0,0.5913,0,0,0.4465,No Promotion,49.5,COD
CUST013900,47,MALE,WEST,Low,High School,Single,27,Annual,Phone,Silver,0,39,40.42,1728.65,125,6,0.1381,0.5017,60,26,0.8296,No Promotion,85,Wallet
CUST013067,47,male,north,High,Graduate,Single,24,Annual,App,Platinum,1,4,343.29,1345.34,174,2,0.4825,0.5012,,11,0.3198,,49.5,Credit Card
CUST004120,36,male,WEST,Mid,High School,Married,39,Annual,In-store,Bronze,0,7,143.53,972.71,142,6,,0.0424,17,2,0.6135,Discount,0,Credit Card
CUST005872,65,Male,central,High,Post-Graduate,Single,24,Monthly,Web,Gold,0,,166.6,975.36,1,2,,0.2426,14,1,0.3474,Cashback,60.5,COD
CUST013304,18,female,West,Mid,Graduate,Married,56,Monthly,App,Bronze,0,11,114.76,1256.12,1,4,0.0188,0.4322,5,9,0.6693,No Promotion,47,Debit Card
CUST007973,,Male,west,High,High School,Divorced,23,Multi-year,App,Bronze,0,17,168.42,2951.34,110,3,0.1864,0.2157,0,13,0.5232,Cashback,,Credit Card
CUST008325,41,Male,NORTH,Mid,Graduate,Single,42,Annual,App,Gold,1,11,162.71,1722.79,183,2,0.2397,,12,1,0.6194,,48,COD
CUST004859,,Male,north,High,Post-Graduate,Married,30,Monthly,In-store,Platinum,0,12,103.45,1237.86,9,5,,0.0953,0,0,0.97,Cashback,21,Credit Card
CUST010991,41,Male,NORTH,Low,Graduate,Single,20,Annual,App,Platinum,1,36,69.39,2516.52,151,4,0.5161,0.5739,60,25,0.97,Cashback,42,Wallet
CUST011652,,Male,south,Low,Graduate,Married,5,Monthly,App,Bronze,0,12,35.87,411.08,,4,,0.328,6,5,0.6297,Discount,73.5,Wallet
CUST008578,62,Female,central,High,High School,Widowed,15,Annual,Web,Silver,1,13,162.74,1914.02,26,3,0.0941,0.3165,0,13,0.5548,Discount,56.5,Credit Card
CUST010540,38,Female,CENTRAL,Mid,Post-Graduate,Married,34,Monthly,App,Silver,1,2,879.66,1659.26,1,2,0.2723,0.2322,0,2,0.0581,Discount,,COD
CUST007403,70,MALE,north,Mid,,Single,11,Multi-year,Web,Bronze,0,42,61.8,2753.06,92,8,0.1297,0.3976,0,7,0.2244,Discount,88,Credit Card
CUST000482,32,Male,East,Low,High School,Married,32,Monthly,Web,Bronze,0,34,64.57,2097.88,101,7,0.3721,0,0,14,0.0289,Cashback,29,COD
CUST007204,30,Male,South ,Low,Graduate,Married,55,Monthly,Web,Bronze,0,9,186.8,1517.73,114,3,0.2428,0,46,1,0.0996,No Promotion,73,Wallet
CUST000965,55,Male,north ,,,Single,32,Monthly,Phone,Bronze,0,1,102.21,110.47,26,1,0.2926,0.3788,11,0,0.8768,No Promotion,63.5,Debit Card
CUST012721,,Female,north,Low,Graduate,Married,51,Annual,Web,Silver,0,31,87.48,2810.81,77,4,0.1747,0.8609,60,0,0.5661,No Promotion,61.5,Wallet
CUST000377,26,FEMALE,North,High,Graduate,Widowed,36,Monthly,Phone,Bronze,0,32,78.97,2654.65,183,4,0.1057,0.1613,44,8,0,Discount,93.5,Debit Card
CUST016637,47,female,west,,Graduate,Widowed,120,Annual,App,Bronze,1,7,106.61,733.41,,1,0.2537,0.6693,13,7,0,No Promotion,42.5,Credit Card
CUST016083,33,F,Central,High,High School,Married,30,Monthly,App,Silver,0,15,170.38,2592.4,69,1,0.5119,0.5316,60,1,0.8161,No Promotion,31.5,Credit Card
CUST012562,45,Non-binary,EAST,High,Graduate,Married,18,Annual,Web,,0,21,86.54,1906.53,118,4,0.1667,0,,7,0.4258,Cashback,80.5,Debit Card
CUST015756,43,male,West,Low,Post-Graduate,Single,86,Annual,Web,Silver,1,39,75.71,3182.59,,8,0.0652,0.1128,0,29,0.2628,No Promotion,,Debit Card
